PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_02517,APOA1,335,310,ug/ml,Spectral counting,Plasma,21632744,1.079,mg/ml,Blood
HPRD_02517,APOA1,335,900.8,ug/ml,Multiple reaction monitoring,Plasma,23245390,2.2,mg/ml,Serum
HPRD_02517,APOA1,335,1.079,mg/ml,Multiple reaction monitoring,Blood,23221968,1.4,mg/ml,Plasma
HPRD_02517,APOA1,335,1.1,mg/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_02517,APOA1,335,1.33,mg/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_02517,APOA1,335,135.6±17,mg/dl,Immunoturbidometry,Serum,12818410,,,
HPRD_02517,APOA1,335,1.4,mg/ml,Immunoassay,Plasma,16038022,,,
HPRD_02517,APOA1,335,670-2200,ug/ml,ELISA,Serum,14767861,,,
HPRD_02517,APOA1,335,1.375,mg/ml,-,Plasma,15627965,,,
HPRD_02517,APOA1,335,1.4,mg/ml,-,Plasma,15611012,,,
HPRD_02517,APOA1,335,1.4,mg/ml,-,Plasma,19572557,,,
HPRD_02517,APOA1,335,1.4,mg/ml,-,Plasma,19690635,,,
HPRD_02517,APOA1,335,1.4,mg/ml,-,Plasma,20204147,,,
HPRD_02517,APOA1,335,1.4,mg/ml,-,Plasma,20677825,,,
HPRD_02517,APOA1,335,1.5,mg/ml,-,Plasma,12938928,,,
HPRD_16397,APOA1BP,128240,4.1,ng/ml,Spectral counting,Plasma,21632744,4.1,ng/ml,Plasma
HPRD_00129,APOA2,336,750,ug/ml,Spectral counting,Plasma,21632744,116.82,ug/ml,Blood
HPRD_00129,APOA2,336,88.6,ug/ml,Multiple reaction monitoring,Plasma,23245390,780,ug/ml,Plasma
HPRD_00129,APOA2,336,116.82,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00129,APOA2,336,45.3,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00129,APOA2,336,53,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00129,APOA2,336,59.846,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00129,APOA2,336,300,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00129,APOA2,336,520,ug/ml,ELISA,Plasma,3085983,,,
HPRD_00129,APOA2,336,67±11,mg/dl,Electroimmunoassay,Plasma,6816269,,,
HPRD_00129,APOA2,336,240,ug/ml,-,Plasma,15611012,,,
HPRD_00129,APOA2,336,240,ug/ml,-,Plasma,19690635,,,
HPRD_00129,APOA2,336,240,ug/ml,-,Plasma,20204147,,,
HPRD_00129,APOA2,336,300,ug/ml,-,Plasma,19572557,,,
HPRD_00129,APOA2,336,300,ug/ml,-,Plasma,20677825,,,
HPRD_00129,APOA2,336,460,ug/ml,-,Plasma,12938928,,,
HPRD_00129,APOA2,336,460,ug/ml,-,Plasma,15627965,,,
HPRD_00129,APOA2,336,520,ug/ml,-,Plasma,21090636,,,
HPRD_00130,APOA4,337,32,ug/ml,Spectral counting,Plasma,21632744,49.54,ug/ml,Blood
HPRD_00130,APOA4,337,35.8,ug/ml,Multiple reaction monitoring,Plasma,23245390,340,ug/ml,Plasma
HPRD_00130,APOA4,337,49.54,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00130,APOA4,337,19.7,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00130,APOA4,337,23.872,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00130,APOA4,337,35,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00130,APOA4,337,143-158,ug/ml,ELISA,Plasma,10987595,,,
HPRD_00130,APOA4,337,16.4±5.4,mg/dl,ELISA,Plasma,2507721,,,
HPRD_00130,APOA4,337,55-340,ug/ml,ELISA,Plasma,19336561,,,
HPRD_00130,APOA4,337,160,ug/ml,-,Plasma,15611012,,,
HPRD_00130,APOA4,337,160,ug/ml,-,Plasma,20204147,,,
HPRD_06966,APOA5,116519,1.3,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_06966,APOA5,116519,179.2 ± 74.8,ng/ml,ELISA,Plasma,15961791,254,ng/ml,Plasma
HPRD_00133,APOB,338,33,ug/ml,Spectral counting,Plasma,21632744,582.9,ug/ml,Blood
HPRD_00133,APOB,338,298.9,ug/ml,Multiple reaction monitoring,Plasma,23245390,1.3,mg/ml,Serum
HPRD_00133,APOB,338,582.9,ug/ml,Multiple reaction monitoring,Blood,23221968,720,ug/ml,Plasma
HPRD_00133,APOB,338,155.059,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00133,APOB,338,73.5±18,mg/dl,Immunoturbidometry,Serum,12818410,,,
HPRD_00133,APOB,338,300-1300,ug/ml,Immunonephelometric assay,Serum,11168448,,,
HPRD_00133,APOB,338,7.3-28.6,ug/ml,Immunonephelometric assay,Serum,11168448,,,
HPRD_00133,APOB,338,720,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00133,APOB,338,720,ug/ml,-,Plasma,19572557,,,
HPRD_00133,APOB,338,720,ug/ml,-,Plasma,20677825,,,
HPRD_00133,APOB,338,730,ug/ml,-,Plasma,15611012,,,
HPRD_00133,APOB,338,1130,ug/ml,-,Plasma,15627965,,,
HPRD_00131,APOC1,341,77,ug/ml,Spectral counting,Plasma,21632744,77,ug/ml,Plasma
HPRD_00131,APOC1,341,2.4,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00131,APOC1,341,2.588,ug/ml,Multiple reaction monitoring,Plasma,23592487,,,
HPRD_00131,APOC1,341,2.761,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00131,APOC1,341,3.04,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00131,APOC1,341,4,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00131,APOC1,341,7,ug/ml,-,Plasma,12938928,,,
HPRD_00131,APOC1,341,7,ug/ml,-,Plasma,15627965,,,
HPRD_00131,APOC1,341,7,ug/ml,-,Plasma,20677825,,,
HPRD_00131,APOC1,341,61,ug/ml,-,Plasma,15611012,,,
HPRD_00131,APOC1,341,61,ug/ml,-,Plasma,19690635,,,
HPRD_00131,APOC1,341,61,ug/ml,-,Plasma,20204147,,,
HPRD_07457,APOC2,344,240,ug/ml,Spectral counting,Plasma,21632744,240,ug/ml,Plasma
HPRD_07457,APOC2,344,33,ug/ml,-,Plasma,12938928,,,
HPRD_07457,APOC2,344,33,ug/ml,-,Plasma,15611012,,,
HPRD_07457,APOC2,344,33,ug/ml,-,Plasma,15627965,,,
HPRD_07457,APOC2,344,33,ug/ml,-,Plasma,20204147,,,
HPRD_07457,APOC2,344,33,ug/ml,-,Plasma,20677825,,,
HPRD_00132,APOC3,345,170,ug/ml,Spectral counting,Plasma,21632744,170,ug/ml,Plasma
HPRD_00132,APOC3,345,439,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00132,APOC3,345,751,ng/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00132,APOC3,345,120,ug/ml,-,Plasma,15611012,,,
HPRD_00132,APOC3,345,120,ug/ml,-,Plasma,19690635,,,
HPRD_00132,APOC3,345,120,ug/ml,-,Plasma,20204147,,,
HPRD_00132,APOC3,345,124,ug/ml,-,Plasma,12938928,,,
HPRD_00132,APOC3,345,124,ug/ml,-,Plasma,15627965,,,
HPRD_02848,APOC4,346,4.6,mg/ml,Spectral counting,Plasma,21632744,4.6,mg/ml,Plasma
HPRD_02848,APOC4,346,0.1-1.9 ,mg/dl,Radioimmunoassay,Plasma,12700345,,,
HPRD_00134,APOD,347,82,ug/ml,Spectral counting,Plasma,21632744,82,ug/ml,Plasma
HPRD_00135,APOE,348,14,ug/ml,Spectral counting,Plasma,21632744,8.22,mg/ml,Blood
HPRD_00135,APOE,348,7.518,ug/ml,Multiple reaction monitoring,Plasma,22547352,34,ug/ml,Plasma
HPRD_00135,APOE,348,8,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00135,APOE,348,8.067,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00135,APOE,348,27.1,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00135,APOE,348,8.22,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00135,APOE,348,34,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00135,APOE,348,34,ug/ml,-,Plasma,19572557,,,
HPRD_00135,APOE,348,35,ug/ml,-,Plasma,12938928,,,
HPRD_00135,APOE,348,35,ug/ml,-,Plasma,15627965,,,
HPRD_00135,APOE,348,35,ug/ml,-,Plasma,20677825,,,
HPRD_00135,APOE,348,40,ug/ml,-,Plasma,15611012,,,
HPRD_00135,APOE,348,40,ug/ml,-,Plasma,20204147,,,
HPRD_00137,APOF,319,4100,ng/ml,Spectral counting,Plasma,21632744,4100,ng/ml,Plasma
HPRD_00137,APOF,319,1.8±0.2,mg/dl,Electroimmunoassay,Plasma,6816269,,,
HPRD_00137,APOF,319,18,pg/ml,-,Plasma,20204147,,,
HPRD_00728,APOH,350,78,ug/ml,Spectral counting,Plasma,21632744,104.23,ug/ml,Blood
HPRD_00728,APOH,350,150-350,ug/ml,Single radial immunodiffusion,Serum,4172868,350,ug/ml,Serum
HPRD_00728,APOH,350,72.5,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00728,APOH,350,98,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00728,APOH,350,104.23,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00728,APOH,350,92.104,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00728,APOH,350,149.4-227.5,ug/ml,ELISA,Serum,21618459,,,
HPRD_00728,APOH,350,180,ug/ml,-,Serum,20204147,,,
HPRD_00728,APOH,350,220,ug/ml,-,Plasma,20677825,,,
