PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_07524,F11,2160,63,ng/ml,Spectral counting,Plasma,21632744,63,ng/ml,Plasma
HPRD_07524,F11,2160,4.8,ug/ml,-,Plasma,15611012,,,
HPRD_01992,F12,2161,3,ug/ml,Spectral counting,Plasma,21632744,19.04,ug/ml,Blood
HPRD_01992,F12,2161,Dec-47,ug/ml,quantitative dot immunobinding assay,Plasma,2358685,47,ug/ml,Plasma
HPRD_01992,F12,2161,11.6,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01992,F12,2161,12.6,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_01992,F12,2161,14.3,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01992,F12,2161,19.04,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_01992,F12,2161,15.921,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_01992,F12,2161,800-1500,pg/ml,ELISA,Plasma,12215862,,,
HPRD_01992,F12,2161,2,ng/ml,-,Plasma,15611012,,,
HPRD_01992,F12,2161,30,ug/ml,-,Plasma,12938928,,,
HPRD_01992,F12,2161,30,ug/ml,-,Plasma,15611012,,,
HPRD_01992,F12,2161,30,ug/ml,-,Plasma,15627965,,,
HPRD_01992,F12,2161,30,ug/ml,-,Plasma,20677825,,,
HPRD_01992,F12,2161,Dec-47,ug/ml,-,Plasma,21090636,,,
HPRD_00604,F13A1,2162,69,ng/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_00604,F13A1,2162,26.863,ug/ml,Multiple reaction monitoring,Plasma,23592487,,,
HPRD_00604,F13A1,2162,14-28,ug/ml,ELISA,Plasma,10739385,,,
HPRD_00604,F13A1,2162,10,ug/ml,-,Plasma,12938928,,,
HPRD_00604,F13A1,2162,10,ug/ml,-,Plasma,15611012,,,
HPRD_00604,F13A1,2162,10,ug/ml,-,Plasma,20677825,,,
HPRD_00605,F13B,2165,960,ng/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_00605,F13B,2165,14-28,ug/ml,ELISA,Plasma,10739385,,,
HPRD_00605,F13B,2165,4.8,ug/ml,-,Plasma,19690635,,,
HPRD_00605,F13B,2165,10,ug/ml,-,Plasma,20204147,,,
HPRD_01488,F2,2147,27,ug/ml,Spectral counting,Plasma,21632744,27,ug/ml,Plasma
HPRD_01488,F2,2147,9.41,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_01488,F2,2147,472,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_01488,F2,2147,1.2,ng/ml,-,Plasma,15611012,,,
HPRD_01488,F2,2147,1.2,ng/ml,-,Plasma,19690635,,,
HPRD_01488,F2,2147,75,ug/ml,-,Plasma,12938928,,,
HPRD_01488,F2,2147,100,ug/ml,-,Plasma,15611012,,,
HPRD_01488,F2,2147,100,ug/ml,-,Plasma,20204147,,,
HPRD_01488,F2,2147,140,ug/ml,-,Plasma,12938928,,,
HPRD_01488,F2,2147,150,ug/ml,-,Plasma,15627965,,,
HPRD_01488,F2,2147,150,ug/ml,-,Plasma,20677825,,,
HPRD_00603,F3,2152,160,pg/ml,-,Plasma,19690635,280,pg/ml,Plasma
HPRD_00603,F3,2152,280,pg/ml,-,Plasma,15611012,,,
HPRD_00603,F3,2152,149-172,pg/ml,-,Plasma,15117736,,,
HPRD_01964,F5,2153,260,ng/ml,Spectral counting,Plasma,21632744,14,ug/ml,Plasma
HPRD_01964,F5,2153,14-Apr,ug/ml,Radioimmunoassay,Plasma,7082847,,,
HPRD_01964,F5,2153,5.78,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01964,F5,2153,6.417,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01964,F5,2153,6.6,ug/ml,-,Plasma,15611012,,,
HPRD_01964,F5,2153,7.5,ug/ml,-,Plasma,12938928,,,
HPRD_01964,F5,2153,7.5,ug/ml,-,Plasma,15627965,,,
HPRD_01964,F5,2153,7.5,ug/ml,-,Plasma,20677825,,,
HPRD_01965,F7,2155,29,ng/ml,Spectral counting,Plasma,21632744,420,ng/ml,Plasma
HPRD_01965,F7,2155,324,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_01965,F7,2155,416,ng/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01965,F7,2155,420,ng/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_01965,F7,2155,50,ng/ml,-,Plasma,12938928,,,
HPRD_01965,F7,2155,500,ng/ml,-,Plasma,15611012,,,
HPRD_02384,F8,2157,830,pg/ml,Spectral counting,Plasma,21632744,830,pg/ml,Plasma
HPRD_02384,F8,2157,50,ng/ml,-,Plasma,12938928,,,
HPRD_02384,F8,2157,200,ng/ml,-,Plasma,15611012,,,
HPRD_02384,F8,2157,200,ng/ml,-,Plasma,15627965,,,
HPRD_02385,F9,2158,400,ng/ml,Spectral counting,Plasma,21632744,1.6,ug/ml,Plasma
HPRD_02385,F9,2158,1.3,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_02385,F9,2158,1.6,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_02385,F9,2158,4,ug/ml,-,Plasma,12938928,,,
HPRD_02385,F9,2158,5,ug/ml,-,Plasma,15627965,,,
HPRD_02385,F9,2158,5.1,ug/ml,-,Plasma,15611012,,,
HPRD_00612,FABP1,2168,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_00613,FABP3,2170,2.1±1.1,ug/l,Sandwich ELISA,Plasma,9581860,1.67,ng/ml,Serum
HPRD_00613,FABP3,2170,1.67,ng/ml,ELISA,Serum,21617322,3.2,ng/ml,Plasma
HPRD_00613,FABP3,2170,2,ng/ml,-,Plasma,15611012,,,
HPRD_02698,FABP4,2167,42,ng/ml,Spectral counting,Plasma,21632744,42,ng/ml,Plasma
HPRD_02698,FABP4,2167,15.86,ng/ml,ELISA,Serum,21863005,,,
HPRD_02698,FABP4,2167,23.03,ng/ml,ELISA,Serum,21863005,,,
HPRD_05524,FABP5,2171,40,ng/ml,Spectral counting,Plasma,21632744,40,ng/ml,Plasma
HPRD_02040,FAH,2184,56,ng/ml,Spectral counting,Plasma,21632744,56,ng/ml,Plasma
HPRD_12270,FAM3C,10447,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_02674,FAP,2191,2,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00610,FASLG,356,1.5,ng/ml,Immunoassay,Plasma,16038022,1.5,ng/ml,Plasma
HPRD_00610,FASLG,356,0.67±0.09,ng/ml,ELISA,Serum,10376200,760,pg/ml,Serum
HPRD_00610,FASLG,356,68.22-103.70,pg/ml,ELISA,Serum,21042884,,,
HPRD_00610,FASLG,356,25,ng/ml,-,Plasma,19690635,,,
HPRD_02567,FASN,2194,4.8,ng/ml,Spectral counting,Plasma,21632744,4.8,ng/ml,Plasma
HPRD_07813,FASTKD5,60493,750,ng/ml,Spectral counting,Plasma,21632744,750,ng/ml,Plasma
HPRD_00629,FBLN1,2192,620,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00629,FBLN1,2192,33±3,ug/ml,ELISA,Plasma,2269669,36,ug/ml,Plasma
HPRD_05204,FBLN5,10516,4.5,ng/ml,Spectral counting,Plasma,21632744,4.5,ng/ml,Plasma
HPRD_00618,FBN1,2200,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_01973,FBP1,2203,47,ng/ml,Spectral counting,Plasma,21632744,47,ng/ml,Plasma
HPRD_04322,FBP2,8789,47,ng/ml,Spectral counting,Plasma,21632744,47,ng/ml,Plasma
HPRD_10956,FCGBP,8857,300,ng/ml,Spectral counting,Plasma,21632744,300,ng/ml,Plasma
HPRD_00906,FCGR2A,2212,4.2,ng/ml,Spectral counting,Plasma,21632744,4.2,ng/ml,Plasma
HPRD_00903,FCGR3A,2214,63,ng/ml,Spectral counting,Plasma,21632744,63,ng/ml,Plasma
HPRD_09951,FCGR3B,2215,63,ng/ml,Spectral counting,Plasma,21632744,63,ng/ml,Plasma
HPRD_03153,FCN1,2219,10-1890,ng/ml,ELISA,Plasma,22673311,1890,ng/ml,Plasma
HPRD_03376,FCN2,2220,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_05399,FCN3,8547,1,ug/ml,Spectral counting,Plasma,21632744,1,ug/ml,Plasma
HPRD_00606,FDPS,2224,1.9,ng/ml,Spectral counting,Plasma,21632744,1.9,ng/ml,Plasma
HPRD_07440,FERMT3,83706,32,ng/ml,Spectral counting,Plasma,21632744,32,ng/ml,Plasma
HPRD_09335,FETUB,26998,270,ng/ml,Spectral counting,Plasma,21632744,270,ng/ml,Plasma
HPRD_09335,FETUB,26998,5,ug/ml,-,Serum,20204147,6,ug/ml,Serum
HPRD_09335,FETUB,26998,5±1 ,ug/ml,-,Serum,12943536,,,
HPRD_00619,FGA,2243,130,pg/ml,Spectral counting,Plasma,21632744,3.115,mg/ml,Blood
HPRD_00619,FGA,2243,1.7-3.8,mg/ml,Quantitative western blot,Plasma,9326227,3.8,mg/ml,Plasma
HPRD_00619,FGA,2243,1.5,mg/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00619,FGA,2243,3.115,mg/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00619,FGA,2243,11.7,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00619,FGA,2243,14.74,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00619,FGA,2243,16.7,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00619,FGA,2243,1.898,mg/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00619,FGA,2243,12.717,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00619,FGA,2243,2.5,mg/ml,-,Plasma,15611012,,,
HPRD_00619,FGA,2243,2.7,mg/ml,-,Plasma,19690635,,,
HPRD_00619,FGA,2243,900,pg/ml,-,Plasma,20204147,,,
HPRD_00620,FGB,2244,130,ug/ml,Spectral counting,Plasma,21632744,300.13,ug/ml,Blood
HPRD_00620,FGB,2244,300.13,ug/ml,Multiple reaction monitoring,Blood,23221968,706,ug/ml,Plasma
HPRD_00620,FGB,2244,706,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00620,FGB,2244,212,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_03303,FGF12,2257,30-Oct,pg/ml,-,Plasma,14961748,30,pg/ml,Plasma
HPRD_05709,FGF20,26281,160,pg/ml,Immunoassay,Plasma,16038022,160,pg/ml,Plasma
HPRD_05648,FGF23,8074,27.2 ± 8.4,pg/ml,ELISA,Serum,21293852,35.6,pg/ml,Plasma
HPRD_00634,FGFR1,2260,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00625,FGFR4,2264,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00621,FGG,2266,98,ug/ml,Spectral counting,Plasma,21632744,12.68,ug/ml,Blood
HPRD_00621,FGG,2266,12.68,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00621,FGG,2266,23.3,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00621,FGG,2266,281.416,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00621,FGG,2266,670,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00621,FGG,2266,670,ug/ml,-,Plasma,20677825,,,
HPRD_09312,FGL1,2267,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_16098,FGL2,10875,7.5,ng/ml,Spectral counting,Plasma,21632744,7.5,ng/ml,Plasma
HPRD_00652,FH,2271,4.9,ng/ml,Spectral counting,Plasma,21632744,4.9,ng/ml,Plasma
HPRD_02157,FHL1,2273,5.6,ng/ml,Spectral counting,Plasma,21632744,5.6,ng/ml,Plasma
HPRD_02102,FIGF,2277,500,pg/ml,Immunoassay,Plasma,16038022,500,pg/ml,Plasma
HPRD_01741,FKBP1A,2280,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_01743,FKBP3,2287,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_04019,FKBP5,2289,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_15920,FLG,2312,820,pg/ml,Spectral counting,Plasma,21632744,820,pg/ml,Plasma
HPRD_11815,FLG2,388698,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_02060,FLNA,2316,410,ng/ml,Spectral counting,Plasma,21632744,410,ng/ml,Plasma
HPRD_04543,FLNB,2317,9.1,ng/ml,Spectral counting,Plasma,21632744,9.1,ng/ml,Plasma
HPRD_00018,FLNC,2318,410,ng/ml,Spectral counting,Plasma,21632744,410,ng/ml,Plasma
HPRD_01297,FLT1,2321,0·5-35,ng/ml,ELISA,Plasma,14511360,61.2,pg/ml,Serum
HPRD_01297,FLT1,2321,1·5-21·5,ng/ml,ELISA,Plasma,14511360,35,ng/ml,Plasma
HPRD_01297,FLT1,2321,18.8-61.2,pg/ml,ELISA,Serum,14760936,,,
HPRD_01297,FLT1,2321,600-4000,pg/ml,ELISA,Plasma,12814387,,,
HPRD_01297,FLT1,2321,70.8-148.3,pg/ml,ELISA,Plasma,20473593,,,
HPRD_01297,FLT1,2321,70.8-148.3,pg/ml,ELISA,Plasma,20615083,,,
HPRD_01297,FLT1,2321,30,ng/ml,-,Plasma,19690635,,,
HPRD_02477,FLT3LG,2323,400,pg/ml,-,Plasma,19690635,400,pg/ml,Plasma
HPRD_00636,FLT4,2324,4.1,ng/ml,Spectral counting,Plasma,21632744,4.1,ng/ml,Plasma
HPRD_00626,FN1,2335,20,ug/ml,Spectral counting,Plasma,21632744,110,ug/ml,Plasma
HPRD_00626,FN1,2335,110,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00626,FN1,2335,181-746,ng/ml,ELISA,Plasma,12599015,,,
HPRD_00626,FN1,2335,1.4,ug/ml,-,Plasma,15611012,,,
HPRD_00626,FN1,2335,110,ug/ml,-,Plasma,19572557,,,
HPRD_00626,FN1,2335,300,ug/ml,-,Plasma,14961748,,,
HPRD_00626,FN1,2335,300,ug/ml,-,Plasma,15627965,,,
HPRD_00626,FN1,2335,400,ng/ml,-,Plasma,19690635,,,
HPRD_03918,FOLR3,2352,43,ng/ml,Spectral counting,Plasma,21632744,43,ng/ml,Plasma
HPRD_04068,FSCN1,6624,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_00644,FSHB,2488,5.7,ng/ml,Spectral counting,Plasma,21632744,5.7,ng/ml,Plasma
HPRD_00641,FST,10468,33,ng/ml,Spectral counting,Plasma,21632744,33,ng/ml,Plasma
HPRD_00641,FST,10468,0.32-3.7,ng/ml,Immunoassay,Serum,12560755,3.7,ng/ml,Serum
HPRD_00641,FST,10468,600,pg/ml,-,Plasma,15611012,,,
HPRD_00641,FST,10468,680,pg/ml,-,Plasma,19690635,,,
HPRD_16120,FSTL1,11167,3.6,ng/ml,Spectral counting,Plasma,21632744,3.6,ng/ml,Plasma
HPRD_05632,FSTL3,10272,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_00615,FTH1,2495,2.2,ng/ml,Spectral counting,Plasma,21632744,2.2,ng/ml,Plasma
HPRD_00615,FTH1,2495,50,ng/ml,-,Plasma,19690635,,,
HPRD_00616,FTL,2512,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_00616,FTL,2512,82±10,ng/ml,ELISA,Serum,679492,92,ng/ml,Serum
HPRD_00616,FTL,2512,20,ng/ml,-,Plasma,15611012,,,
HPRD_00616,FTL,2512,50,ng/ml,-,Plasma,19690635,,,
HPRD_01974,FUCA1,2517,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_00649,FUCA2,2519,1.3,ng/ml,Spectral counting,Plasma,21632744,1.3,ng/ml,Plasma
HPRD_09968,G0S2,50486,10,ng/ml,Spectral counting,Plasma,21632744,10,ng/ml,Plasma
HPRD_02377,G6PD,2539,6.9,ng/ml,Spectral counting,Plasma,21632744,6.9,ng/ml,Plasma
HPRD_03782,GALNT2,2590,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_03516,GANAB,23193,6.4,ng/ml,Spectral counting,Plasma,21632744,6.4,ng/ml,Plasma
HPRD_00713,GAPDH,2597,91,ng/ml,Spectral counting,Plasma,21632744,91,ng/ml,Plasma
HPRD_00716,GART,2618,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_00671,GAST,2520,690,pg/ml,-,Plasma,19690635,690,pg/ml,Plasma
HPRD_03838,GATM,2628,6.8,ng/ml,Spectral counting,Plasma,21632744,6.8,ng/ml,Plasma
HPRD_01985,GBE1,2632,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_00749,GC,2638,57,ug/ml,Spectral counting,Plasma,21632744,104.82,ug/ml,Blood
HPRD_00749,GC,2638,62.36,ug/ml,Multiple reaction monitoring,Plasma,23245390,460,ug/ml,Serum
HPRD_00749,GC,2638,104.82,ug/ml,Multiple reaction monitoring,Blood,23221968,62.36,ug/ml,Plasma
HPRD_00749,GC,2638,320-460,ug/ml,Immunonephelometry,Serum,1526017,,,
HPRD_00749,GC,2638,360,ug/ml,-,Plasma,12938928,,,
HPRD_00749,GC,2638,400,ug/ml,-,Plasma,15627965,,,
HPRD_00749,GC,2638,400,ug/ml,-,Plasma,20677825,,,
HPRD_06032,GCLC,2729,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_08849,GDA,9615,4.8,ng/ml,Spectral counting,Plasma,21632744,4.8,ng/ml,Plasma
HPRD_05608,GDF15,9518,1.5±_0.69,ng/ml,ELISA,Serum,21881845,2.19,ng/ml,Serum
HPRD_02114,GDI1,2664,29,ng/ml,Spectral counting,Plasma,21632744,29,ng/ml,Plasma
HPRD_02863,GDI2,2665,29,ng/ml,Spectral counting,Plasma,21632744,29,ng/ml,Plasma
HPRD_00675,GFAP,2670,28,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_00675,GFAP,2670,150-760,pg/ml,ELISA,Blood,12417106,,,
HPRD_00675,GFAP,2670,450,pg/ml,-,Plasma,15611012,760,pg/ml,Blood
HPRD_03299,GGH,8836,250,ng/ml,Spectral counting,Plasma,21632744,250,ng/ml,Plasma
HPRD_00751,GH1,2688,200,pg/ml,-,Plasma,15611012,400,pg/ml,Plasma
HPRD_00751,GH1,2688,400,pg/ml,-,Plasma,19690635,,,
HPRD_05638,GHRL,51738,10,ng/ml,Spectral counting,Plasma,21632744,10,ng/ml,Plasma
HPRD_05638,GHRL,51738,1.79±0.15,ng/ml,Radioimmunoassay,Plasma,15588149,,,
HPRD_15925,GIP,2695,12,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_16217,GKN1,56287,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_06187,GLIPR2,152007,92,ng/ml,Spectral counting,Plasma,21632744,92,ng/ml,Plasma
HPRD_00730,GLO1,2739,5.9,ng/ml,Spectral counting,Plasma,21632744,5.9,ng/ml,Plasma
HPRD_02707,GLRX,2745,34,ng/ml,Spectral counting,Plasma,21632744,34,ng/ml,Plasma
HPRD_11748,GLUD1,2746,55,ng/ml,Spectral counting,Plasma,21632744,55,ng/ml,Plasma
HPRD_02034,GM2A,2760,90,ng/ml,Spectral counting,Plasma,21632744,90,ng/ml,Plasma
HPRD_00766,GNB1,2782,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_06384,GNPTG,84572,6.8,ng/ml,Spectral counting,Plasma,21632744,6.8,ng/ml,Plasma
HPRD_08428,GOLM1,51280,9.2,ng/ml,Spectral counting,Plasma,21632744,9.2,ng/ml,Plasma
HPRD_00687,GOT1,2805,56,ng/ml,Spectral counting,Plasma,21632744,56,ng/ml,Plasma
HPRD_00684,GOT2,2806,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_01976,GP1BA,2811,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_01431,GP5,2814,19,ng/ml,Spectral counting,Plasma,21632744,34.4,ug/ml,Plasma
HPRD_01431,GP5,2814,23.5-34.4,ug/ml,ELISA,Plasma,17003930,,,
HPRD_00714,GPD1,2819,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_01394,GPI,2821,150,ng/ml,Spectral counting,Plasma,21632744,150,ng/ml,Plasma
HPRD_01394,GPI,2821,55,ug/ml,-,Plasma,19690635,,,
HPRD_03946,GPLD1,2822,460,ng/ml,Spectral counting,Plasma,21632744,460,ng/ml,Plasma
HPRD_03946,GPLD1,2822,18.3-106.7,ug/ml,ELISA,Serum,14767861,106.7,ug/ml,Serum
HPRD_03946,GPLD1,2822,75,mg/ml,-,Serum,20204147,,,
HPRD_03946,GPLD1,2822,75.2,mg/ml,-,Serum,1606959,,,
HPRD_03946,GPLD1,2822,18.3-106.7,ug/ml,-,Serum,21090636,,,
HPRD_11010,GPR116,221395,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_00689,GPT,2875,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_11749,GPX1,2876,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_11750,GPX3,2878,10,ug/ml,Spectral counting,Plasma,21632744,43.8,ug/ml,Plasma
HPRD_11750,GPX3,2878,13.8 ±7.3,mg/l,ELISA,Plasma,17558897,,,
HPRD_11750,GPX3,2878,3.8-43.8,ug/ml,ELISA,Plasma,16500636,2.9,ng/ml,Plasma
HPRD_00150,GRB2,2885,2.9,ng/ml,Spectral counting,Plasma,21632744,270,ng/ml,Plasma
HPRD_18176,GRHL1,29841,130,ng/ml,Spectral counting,Plasma,21632744,130,ng/ml,Plasma
HPRD_05052,GRHPR,9380,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_00733,GRN,2896,270,ng/ml,Spectral counting,Plasma,21632744,300,pg/ml,Plasma
HPRD_00674,GSN,2934,16,ug/ml,Spectral counting,Plasma,21632744,300,ug/ml,Serum
HPRD_00674,GSN,2934,517 ± 134 ,mg/L,Quantitative western blot,Plasma,10556139,651,ug/ml,Plasma
HPRD_00674,GSN,2934,49.2,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00674,GSN,2934,884,ng/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00674,GSN,2934,500,ug/ml,-,Plasma,20204147,,,
HPRD_00674,GSN,2934,190-300,ug/ml,-,Serum,9142022,,,
HPRD_00704,GSR,2936,3.5,ng/ml,Spectral counting,Plasma,21632744,3.5,ng/ml,Plasma
HPRD_03000,GSS,2937,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00708,GSTA1,2938,2.4,ng/ml,Spectral counting,Plasma,21632744,2.4,ng/ml,Plasma
HPRD_10401,GSTO1,9446,33,ng/ml,Spectral counting,Plasma,21632744,33,ng/ml,Plasma
HPRD_00614,GSTP1,2950,32,ng/ml,Spectral counting,Plasma,21632744,32,ng/ml,Plasma
HPRD_00767,GUCA2A,2980,350,ng/ml,Spectral counting,Plasma,21632744,350,ng/ml,Plasma
HPRD_03170,GUCA2B,2981,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_12181,GULP1,51454,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_02633,GZMM,3004,6.9,ng/ml,Spectral counting,Plasma,21632744,6.9,ng/ml,Plasma
HPRD_00823,H2AFZ,3015,200,ng/ml,Spectral counting,Plasma,21632744,200,ng/ml,Plasma
HPRD_00681,H6PD,9563,4.9,ng/ml,Spectral counting,Plasma,21632744,4.9,ng/ml,Plasma
HPRD_04890,HABP2,3026,1.1,ug/ml,Spectral counting,Plasma,21632744,1.1,ug/ml,Plasma
HPRD_04890,HABP2,3026,118,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_04890,HABP2,3026,370,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_04890,HABP2,3026,483,ng/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_04890,HABP2,3026,515,ng/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_04890,HABP2,3026,7.5,ug/ml,-,Plasma,15611012,,,
HPRD_00731,HAGH,3029,1.7,ng/ml,Spectral counting,Plasma,21632744,1.7,ng/ml,Plasma
HPRD_00784,HBA1,3039,41,ug/ml,Spectral counting,Plasma,21632744,41,ug/ml,Plasma
HPRD_00786,HBB,3043,30,ug/ml,Spectral counting,Plasma,21632744,30,ug/ml,Plasma
HPRD_00786,HBB,3043,100,mg/ml,-,Plasma,20204147,,,
HPRD_00787,HBD,3045,30,ug/ml,Spectral counting,Plasma,21632744,30,ug/ml,
HPRD_00792,HBG2,3048,30,ug/ml,Spectral counting,Plasma,21632744,30,ug/ml,
HPRD_00794,HBZ,3050,3.5,ng/ml,Spectral counting,Plasma,21632744,3.5,ng/ml,
HPRD_02079,HDGF,3068,4.2,ng/ml,Spectral counting,Plasma,21632744,4.2,ng/ml,Plasma
HPRD_13644,HEG1,57493,6.6,ng/ml,Spectral counting,Plasma,21632744,6.6,ng/ml,Plasma
HPRD_06043,HEXB,3074,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_00799,HGF,3082,0-433,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,1.39,ng/ml,Serum
HPRD_00799,HGF,3082,311,pg/ml,Immunoassay,Serum,21934211,433,pg/ml,Plasma
HPRD_00799,HGF,3082,189-1390,pg/ml,ELISA,Serum,11566625,,,
HPRD_00799,HGF,3082,201±64,pg/ml,ELISA,Serum,11059627,,,
HPRD_00799,HGF,3082,319-1495,pg/ml,ELISA,Serum,11257710,,,
HPRD_00799,HGF,3082,200,pg/ml,-,Plasma,15611012,,,
HPRD_00799,HGF,3082,200,pg/ml,-,Plasma,19690635,,,
HPRD_00799,HGF,3082,177-814,pg/ml,-,Serum,21934211,,,
HPRD_05184,HGFAC,3083,240,ng/ml,Spectral counting,Plasma,21632744,240,ng/ml,Plasma
HPRD_05184,HGFAC,3083,400,ng/ml,-,Plasma,16335952,,,
HPRD_03204,HINT1,3094,48,ng/ml,Spectral counting,Plasma,21632744,48,ng/ml,Plasma
HPRD_00821,HIST1H1B,3009,5.5,ng/ml,Spectral counting,Plasma,21632744,5.5,ng/ml,Plasma
HPRD_07514,HIST1H1C,3006,30,ng/ml,Spectral counting,Plasma,21632744,30,ng/ml,Plasma
HPRD_07513,HIST1H1E,3008,30,ng/ml,Spectral counting,Plasma,21632744,30,ng/ml,Plasma
HPRD_13658,HIST1H2BK,85236,75,ng/ml,Spectral counting,Plasma,21632744,75,ng/ml,Plasma
HPRD_00826,HLA-A,3105,28,ng/ml,Spectral counting,Plasma,21632744,28,ng/ml,Plasma
HPRD_00828,HLA-B,3106,28,ng/ml,Spectral counting,Plasma,21632744,28,ng/ml,Plasma
